Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Overall rank: 4153 Sel Score: 0.69 CDE: 14.8436 p value: 8.848e-02 RTime: 36.004,,(no adduct),408.9781,4,26,46
Overall rank: 4528 Sel Score: 0.69 CDE: 14.4765 p value: 4.146e-03 RTime: 36.227,,(no adduct),451.9954,4,26,46
Overall rank: 4128 Sel Score: 0.68 CDE: 15.0555 p value: 8.527e-02 RTime: 36.805,,(no adduct),446.4761,4,26,46
Overall rank: 4544 Sel Score: 0.67 CDE: 14.8003 p value: 8.932e-02 RTime: 36.843,,(no adduct),376.0014,5,26,46
Overall rank: 4522 Sel Score: 0.67 CDE: 14.8373 p value: 7.990e-02 RTime: 36.029,,(no adduct),388.2224,2,26,46
Overall rank: 4412 Sel Score: 0.65 CDE: 15.0863 p value: 9.475e-02 RTime: 36.577,,(no adduct),406.2026,2,26,46
Overall rank: 4377 Sel Score: 0.64 CDE: 15.1601 p value: 5.371e-02 RTime: 36.795,,(no adduct),409.7193,4,26,46
Overall rank: 4774 Sel Score: 0.63 CDE: 14.9307 p value: 6.505e-02 RTime: 36.797,,(no adduct),412.7124,4,26,46
Overall rank: 3939 Sel Score: 0.72 CDE: 14.6528 p value: 6.915e-02 RTime: 37.137,,(no adduct),360.7991,5,27,47
Overall rank: 4299 Sel Score: 0.7 CDE: 14.505 p value: 3.414e-02 RTime: 37.622,,(no adduct),370.5928,5,27,47
Overall rank: 3988 Sel Score: 0.69 CDE: 14.9828 p value: 3.209e-02 RTime: 37.06,,(no adduct),390.4698,2,27,47
Overall rank: 3852 Sel Score: 0.69 CDE: 15.15 p value: 5.962e-02 RTime: 37.198,,(no adduct),403.4774,4,27,47
Overall rank: 4057 Sel Score: 0.69 CDE: 15.0114 p value: 6.571e-02 RTime: 37.924,,(no adduct),436.9976,4,27,47
Overall rank: 3846 Sel Score: 0.67 CDE: 15.2529 p value: 9.950e-02 RTime: 37.989,,(no adduct),435.2444,4,27,47
Overall rank: 3784 Sel Score: 0.66 CDE: 15.3486 p value: 4.843e-02 RTime: 37.225,,(no adduct),428.4733,4,27,47
Overall rank: 4818 Sel Score: 0.64 CDE: 14.7748 p value: 1.083e-01 RTime: 37.512,,(no adduct),418.2045,2,27,47
Overall rank: 5428 Sel Score: 0.63 CDE: 13.8432 p value: 5.895e-02 RTime: 37.548,,(no adduct),412.4649,2,27,47
Overall rank: 5367 Sel Score: 0.6 CDE: 14.3225 p value: 9.538e-02 RTime: 37.238,,(no adduct),441.2426,4,27,47
Overall rank: 4532 Sel Score: 0.7 CDE: 14.1055 p value: 1.149e-01 RTime: 38.925,,(no adduct),440.9983,4,28,48
Overall rank: 4337 Sel Score: 0.68 CDE: 14.8231 p value: 6.421e-02 RTime: 38.23,,(no adduct),453.9714,2,28,48
Overall rank: 4762 Sel Score: 0.67 CDE: 14.4546 p value: 4.960e-02 RTime: 38.386,,(no adduct),375.4061,5,28,48
Overall rank: 4805 Sel Score: 0.66 CDE: 14.5648 p value: 7.796e-02 RTime: 38.506,,(no adduct),399.2228,2,28,48
