Compound,m/z,z,p value,specificity
"Sel Score: 0.86 RTime: 2108.778 Areas: [3665210.6472147834, 5422817.296022066, 4519236.207170905, 4752385.964563093, 2987369.6477793255, 6216484.040122241]",404.7192,4.0,0.11696335351543774,WDR5
"Sel Score: 0.86 RTime: 2040.459 Areas: [6247872.621208872, 6053648.930587917, 7902312.45814139, 17026284.155862793, 7202062.966761381, 7455978.67416383]",436.9715,2.0,0.038792316145450645,WDR5
"Sel Score: 0.86 RTime: 2378.411 Areas: [3541061.9051310807, 4335919.114497301, 5306952.53806651, 6021644.505282635, 2110082.4820831, 2056181.193684987]",408.9861,2.0,0.04400161413932829,WDR5
"Sel Score: 0.86 RTime: 3002.818 Areas: [13863562.092075817, 4943185.243805928, 4995022.38531465, 16092530.891289763, 28949124.46692301, 3847516.104947146]",420.2455,2.0,0.12433984496821089,WDR5
"Sel Score: 0.86 RTime: 3551.315 Areas: [3561378.2986750174, 3213049.882679611, 1889941.8939453987, 15621676.839813769, 11301253.119786907, 6139104.287474381]",442.2512,4.0,0.07177380608883878,WDR5
"Sel Score: 0.86 RTime: 2385.23 Areas: [8558784.935488863, 4308386.441934181, 4332272.774807463, 14863101.800361661, 11006703.537955677, 5986641.775244336]",375.969,4.0,0.09172406276576361,WDR5
"Sel Score: 0.86 RTime: 2663.199 Areas: [3244693.042632608, 9743407.05695537, 7535166.155471043, 22715903.04482542, 7681191.107973384, 11437739.601984164]",391.2253,4.0,0.0388271907666321,WDR5
"Sel Score: 0.86 RTime: 3542.299 Areas: [2520280.395311584, 6052914.767090371, 5403846.849170639, 9100630.926051022, 7403668.816494722, 5912083.132418221]",436.9762,4.0,0.01190170526094414,WDR5
"Sel Score: 0.86 RTime: 1201.289 Areas: [5700846.546641425, 2906808.898818464, 1322422.2541125424, 5169407.653384324, 5717222.224008718, 10300642.74036162]",365.0039,5.0,0.015368184377868098,WDR5
"Sel Score: 0.86 RTime: 2112.315 Areas: [5304912.575544589, 2910634.525598271, 7792088.279000405, 7743153.330461193, 10107934.266030159, 2808538.864696836]",433.4853,4.0,0.04917888633154342,WDR5
"Sel Score: 0.86 RTime: 1265.832 Areas: [5562939.623678293, 8681939.067541372, 8797653.653373709, 7740526.712434784, 16436588.48579352, 8203706.07633797]",344.5885,5.0,0.06542212636566988,WDR5
"Sel Score: 0.86 RTime: 6109.069 Areas: [2640680.8111237413, 7660972.213194332, 7398053.654966126, 14805041.091243146, 9315076.932889335, 7673684.635970151]",880.2255,2.0,0.04498884969485708,WDR5
"Sel Score: 0.86 RTime: 4688.048 Areas: [3539310.797065925, 991862.9770502375, 4542178.510290633, 8123314.971437554, 4475327.100650482, 3057891.3789737127]",648.3389,3.0,0.12040202705695745,WDR5
"Sel Score: 0.86 RTime: 1944.127 Areas: [2100346.704780173, 6744294.5718795005, 1398101.1817214543, 6093314.81790393, 9146405.679595705, 6491435.486268539]",409.9638,2.0,0.09020318698688713,WDR5
"Sel Score: 0.86 RTime: 1882.387 Areas: [3839235.657076954, 15515936.087167388, 10561350.542883597, 10926692.90450528, 825630.7641873013, 3513053.1523563485]",420.7139,4.0,0.0009476365414549062,WDR5
"Sel Score: 0.86 RTime: 1719.568 Areas: [5874582.97677138, 6294511.7833572505, 8455091.701052265, 3431998.4074241356, 1426543.8757316407, 2880764.239918715]",343.7834,5.0,0.0007315647306054762,WDR5
"Sel Score: 0.86 RTime: 2976.084 Areas: [9266174.073832348, 4226579.00306964, 7389302.8493453935, 7845778.929288746, 9342855.169659762, 4332024.829914361]",390.4717,4.0,0.09998633727231102,WDR5
"Sel Score: 0.86 RTime: 3175.208 Areas: [2558808.647204289, 6160097.064939996, 3479299.494605935, 15202144.598542878, 24065237.16652862, 11734553.111128217]",468.7503,2.0,0.04000927762998785,WDR5
"Sel Score: 0.85 RTime: 2166.94 Areas: [2728200.6243641553, 12434007.36406249, 10669063.653501218, 10937175.659427762, 15478822.76069228, 2876957.193803532]",360.4041,5.0,0.12021933512384636,WDR5
"Sel Score: 0.85 RTime: 2176.746 Areas: [12619118.212053804, 10379232.035595808, 8847023.661135534, 20229962.201415043, 2605830.8537693364, 8682111.509414025]",366.7947,5.0,0.0006990830897305566,WDR5
"Sel Score: 0.85 RTime: 3230.795 Areas: [9580813.03336533, 5260221.822878322, 2028916.1384719745, 9210823.586019719, 4528629.443760739, 11883216.444876064]",468.7476,2.0,0.04278362399295381,WDR5
"Sel Score: 0.85 RTime: 1987.815 Areas: [4137684.6917952346, 8381590.460113437, 2599259.371704693, 12069911.431459311, 16232360.81636847, 3695980.4236017885]",353.3962,5.0,0.12152337099061332,WDR5
"Sel Score: 0.85 RTime: 3092.628 Areas: [1024522.948770352, 3589976.843196596, 4800622.031697852, 2861023.9370251605, 3881676.513596838, 3328144.3956348198]",403.9683,2.0,0.1311525761976724,WDR5
"Sel Score: 0.85 RTime: 2210.505 Areas: [11606209.612400094, 9168189.39990097, 5371698.521748738, 9198586.251158364, 3035011.6766247847, 10516576.935780898]",334.1904,5.0,0.06571527758909745,WDR5
"Sel Score: 0.85 RTime: 1998.027 Areas: [2882756.427910867, 3552212.4892900675, 4324888.307557487, 4492785.198629026, 5582401.456566212, 3222118.6972020287]",410.2236,2.0,0.11282928226252763,WDR5
"Sel Score: 0.85 RTime: 2067.477 Areas: [2436206.9373888895, 4204720.306075945, 5041514.734040069, 15216555.240281396, 5468723.5697880825, 5458340.32345345]",352.5978,5.0,0.005800354975121442,WDR5
"Sel Score: 0.85 RTime: 2661.838 Areas: [3605048.8829171374, 4338715.105658621, 3674166.206514075, 7863317.278441396, 6547745.597398438, 3009467.2096050526]",352.7927,5.0,0.03924871039568075,WDR5
"Sel Score: 0.85 RTime: 2386.813 Areas: [1367407.5178126686, 1754598.254830159, 708605.3361846192, 3484023.725808211, 1652916.035104818, 5503978.326209733]",384.2188,2.0,0.05407977169045826,WDR5
"Sel Score: 0.85 RTime: 1301.917 Areas: [3766421.5416050544, 10547046.152417643, 3981817.54537118, 1521517.0925168036, 4282627.250637209, 13416119.177759966]",329.3876,5.0,0.008542626411709369,WDR5
"Sel Score: 0.85 RTime: 3048.592 Areas: [10524393.404706521, 4963681.735789031, 7284567.864694469, 8735850.876825277, 4659688.754276371, 6190624.101415982]",425.2286,4.0,0.10121744734625136,WDR5
