Compound,m/z,z,p value,specificity,areas
Sel Score: 0.77 RTime: 1406.142,455.0024,4.0,0.14984285724296287,Unclear,"[12277983.761812866, 6749450.213394454, 4203410.372626308, 1950037.6344816627, 2162485.8229714823, 2927633.9051508442]"
Sel Score: 0.77 RTime: 7411.459,542.0472,4.0,0.0006318387786640563,12ca5,"[2113982.800444201, 1784384.554206783, 1988469.2962531047, 694978.8888893626, 630782.8222921242, 480061.66805640695]"
Sel Score: 0.76 RTime: 1362.757,454.7451,2.0,0.05856859533130179,12ca5,"[8343813.382203902, 13651937.346636808, 8162357.933062599, 3059331.377896877, 2703363.2213412207, 3580242.1799353]"
Sel Score: 0.76 RTime: 1447.601,458.2582,2.0,0.02233704693062644,12ca5,"[6266767.034748868, 9124745.427254181, 10552979.281131627, 1271598.4392236432, 2568200.816913364, 4303211.105218603]"
Sel Score: 0.76 RTime: 1471.566,434.751,4.0,0.2749927631800532,Unclear,"[8854811.109435258, 18462368.9956497, 2577959.537696242, 5376146.072132963, 4044694.7283928385, 10171.0]"
Sel Score: 0.76 RTime: 1309.69,459.767,2.0,0.006949474436402901,12ca5,"[3217562.6028785873, 3591335.1819329173, 4043604.8183326283, 1800685.633248781, 562656.3048802393, 1068179.0265019455]"
Sel Score: 0.76 RTime: 1307.971,457.2625,4.0,0.28413893348488933,Unclear,"[2007904.9072240447, 5982116.255172554, 13627449.487316277, 1622546.099585713, 3390710.3766037044, 1828855.894653622]"
Sel Score: 0.76 RTime: 1412.338,459.2466,4.0,0.2710590833133754,Unclear,"[13470484.933845632, 2839083.166125776, 5069071.609248417, 2839692.3143839412, 1801041.7848665495, 2139679.150702667]"
Sel Score: 0.76 RTime: 1337.646,457.2564,2.0,0.012985994841314909,12ca5,"[10599783.201220285, 7891593.20561317, 11763797.408435225, 3839388.2680622065, 2029475.221562435, 3783081.44827186]"
Sel Score: 0.76 RTime: 7142.653,619.6657,3.0,0.0058480708869991975,12ca5,"[2230020.191992573, 2465522.192469504, 1857144.1539692315, 611863.5887723296, 860404.9027452349, 619667.9979548637]"
Sel Score: 0.76 RTime: 1313.336,445.0131,4.0,0.011590498561300632,12ca5,"[5571233.000795992, 4334923.8046995085, 6387058.729431175, 1744077.628672198, 1195998.5834494808, 2298213.252405279]"
Sel Score: 0.76 RTime: 1453.244,436.4857,2.0,0.16649353597098815,Unclear,"[14909340.588052737, 17761765.9271342, 4628863.962310449, 4926544.276987058, 2992227.8846916286, 4087208.647358004]"
Sel Score: 0.76 RTime: 1458.085,433.2531,4.0,0.1266122154161362,12ca5,"[13872388.544072572, 4740566.028891263, 9010189.500477014, 840580.4092315958, 2848819.368427578, 5211173.500554732]"
Sel Score: 0.76 RTime: 1526.791,450.0009,4.0,0.03890118878727728,12ca5,"[9698562.438607292, 5755052.520967151, 7939927.30247564, 2841765.2443390028, 2638616.2499293224, 2063200.3061483793]"
Sel Score: 0.76 RTime: 1433.141,439.2498,4.0,0.09145207225131151,12ca5,"[20965271.879688583, 10868039.65071813, 10684483.956858156, 4233905.554046858, 2528204.792030729, 6989871.6660808055]"
Sel Score: 0.75 RTime: 1329.219,436.5011,2.0,0.05965890862267805,12ca5,"[12463922.537642967, 12628092.633846194, 6273527.2747691795, 5323199.163649026, 2672009.4383994993, 2219050.3551884717]"
Sel Score: 0.75 RTime: 7755.165,539.3429,2.0,0.5509251995533198,Unclear,"[52776393.2875675, 2137250.2038341183, 10056.0, 9954.0, 8773146.105815645, 9194494.281765614]"
Sel Score: 0.75 RTime: 7495.983,564.0604,4.0,0.025127498060664076,12ca5,"[2101085.737112405, 1937138.3118941772, 2817023.583466586, 808430.0075150835, 810949.5492634303, 631360.4415777326]"
Sel Score: 0.75 RTime: 1427.529,445.7489,4.0,0.2027243978822482,Unclear,"[6859257.579121348, 6217266.552095644, 17532130.599416256, 3589504.486437454, 3558797.757989662, 2924492.2227102015]"
Sel Score: 0.75 RTime: 1430.201,442.7678,2.0,0.3350531606479907,Unclear,"[8168345.547860798, 1137981.3813654277, 2695223.326336381, 1738539.4263856357, 1175213.5925514703, 1041242.8716703712]"
