Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
"Sel Score: 0.74 RTime: 22.786 Area: 14433594.163648373 All areas: [14228919.784878576, 13266606.76779877, 15805255.93826777, 6962390.0548111275, 2730470.835152812, 5634100.674293014] p-value: 0.005985705224625136 original RTs: [0, 0, 1315.3113076245672, 1458.5279509259776, 0, 1287.6397669049397]",,(no adduct),437.2525,4.0,12,32
"Sel Score: 0.74 RTime: 124.41 Area: 2271573.2866688683 All areas: [2389185.5793358744, 2418568.356015507, 2006965.9246552237, 761979.7676896758, 1017879.6520761938, 645737.2424348834] p-value: 0.0012202930865754828 original RTs: [7479.562322963781, 0, 0, 0, 0, 0]",,(no adduct),553.0548,2.0,114,120
"Sel Score: 0.74 RTime: 124.148 Area: 2271571.7884130306 All areas: [2389180.770275818, 2418569.6504504974, 2006964.9445127756, 761982.1699254604, 1017880.1477684627, 645736.2106850785] p-value: 0.001220294699070077 original RTs: [0, 0, 0, 0, 7478.187814556241, 0]",,(no adduct),553.0537,4.0,114,120
"Sel Score: 0.74 RTime: 23.145 Area: 11452881.70812623 All areas: [13154200.28960599, 11931363.526383085, 9273081.30838961, 8173218.7278414555, 2058046.525727426, 2062257.7200619308] p-value: 0.04811272419637972 original RTs: [1423.2896418715675, 1416.1620988559798, 1301.4171210875202, 1439.3836657465592, 0, 0]",,(no adduct),416.243,4.0,13,33
"Sel Score: 0.74 RTime: 24.244 Area: 11793799.289329529 All areas: [7389872.880825053, 12205214.63582546, 15786310.351338072, 4258500.516330607, 1681823.9214735785, 6743604.136246576] p-value: 0.06912930772376663 original RTs: [0, 0, 1411.4456243145714, 1442.5864106550098, 0, 1471.5154683202627]",,(no adduct),406.4824,2.0,14,34
"Sel Score: 0.73 RTime: 23.203 Area: 7556261.375531577 All areas: [7269441.652658291, 9405828.26025657, 5993514.213679869, 1827223.3347705198, 2344377.6605177824, 4026563.3271926013] p-value: 0.02060620260513658 original RTs: [0, 1404.311325017876, 0, 0, 0, 0]",,(no adduct),457.5039,2.0,13,33
"Sel Score: 0.73 RTime: 22.739 Area: 9625997.697479159 All areas: [12492932.672147635, 8265291.734285754, 8119768.686004088, 4942465.746891528, 3074380.5971058942, 2437086.4933308465] p-value: 0.03175229196230414 original RTs: [1422.7541120501778, 1327.835484158806, 0, 0, 0, 0]",,(no adduct),455.7565,4.0,12,32
"Sel Score: 0.73 RTime: 21.682 Area: 5258490.076601445 All areas: [4813884.233320213, 5539551.994371455, 5422034.002112666, 1730579.4718631927, 2845898.4796822146, 1168121.4481765213] p-value: 0.010477574921630988 original RTs: [0, 0, 1304.078227585378, 0, 0, 0]",,(no adduct),463.5172,2.0,11,31
"Sel Score: 0.73 RTime: 23.509 Area: 14369001.868043229 All areas: [11427022.415215958, 21135548.169251405, 10544435.019662326, 8798757.0912601, 2933239.644119998, 4055681.0584190316] p-value: 0.0971887240673355 original RTs: [0, 1422.7466690600636, 0, 0, 0, 0]",,(no adduct),416.9865,2.0,13,33
"Sel Score: 0.73 RTime: 23.737 Area: 8708579.807871964 All areas: [10925651.657245021, 8119538.026799872, 7080549.739570997, 4898749.208327676, 2473534.82335459, 2203514.954297306] p-value: 0.021152763517795114 original RTs: [1434.2656145810588, 0, 0, 0, 0, 0]",,(no adduct),437.7561,4.0,13,33
